state_abbr,year,ccd_frpl_share,ccd_ell_share,ccd_swd_share,f33_pp_expenditure_real,f33_teacher_salary_real,saipe_child_poverty_rate,acs_median_income_real,acs_ba_share,acs_white_share,acs_black_share,acs_hispanic_share,rucc_rural_share
GA,2013,0.249,,,,,0.249,49179,0.2795825478561217,0.5540986687925702,0.30281638384994236,0.08927744865483292,0.07109947172809923
GA,2014,0.248,,,,,0.248,49342,0.28311625953760255,0.5499446090517368,0.3042296358529621,0.09050656879317577,0.07109947172809923
GA,2015,0.23600000000000002,,,,,0.23600000000000002,49620,0.2882192177015956,0.5456748798029479,0.3052307090864085,0.09145079198492449,0.07109947172809923
GA,2016,0.215,,,,,0.215,51037,0.2941196109788629,0.5412482226526142,0.3074734734615796,0.09178736786239074,0.07109947172809923
GA,2017,0.203,,,,,0.203,52977,0.29931028981034163,0.5361342569107795,0.30882441883090306,0.09315957687174654,0.07109947172809923
GA,2018,0.19899999999999998,,,,,0.19899999999999998,55679,0.30650579742540646,0.5318232104075131,0.31030521630332225,0.0940485073829685,0.07109947172809923
GA,2019,0.18600000000000003,,,,,0.18600000000000003,58700,0.3132300535445791,0.5272910107194002,0.31184118720700144,0.09538721590196396,0.07109947172809923
GA,2020,0.188,,,,,0.188,61224,0.3219732935034678,0.5209193027504476,0.3114683016216585,0.09632951932372685,0.07109947172809923
GA,2021,0.196,,,,,0.196,65030,0.33002720801553903,0.514104171852641,0.31145472520884676,0.0986741943878072,0.07109947172809923
GA,2022,0.163,,,,,0.163,71355,0.3363367520555638,0.5078334223221176,0.3109488846868566,0.10058051775151378,0.07109947172809923
GA,2023,0.18,,,,,0.18,74664,0.342049700402313,0.49840851404331127,0.30957414075558626,0.10702604459745772,0.07109947172809923
GA,2024,0.165,,,,,0.165,77353,0.3494532000166852,0.49120201835269933,0.30732586091175584,0.11010705543221563,0.07109947172809923
HI,2012,0.162,,,,,0.162,67492,0.29606887813371374,0.22775384705701057,0.015282557806755557,0.09017340192114359,0.0
HI,2013,0.139,,,,,0.139,67402,0.3010945229088793,0.22827687027082796,0.01648988809109655,0.09312736049896171,0.0
HI,2014,0.149,,,,,0.149,68201,0.3047126662831554,0.2286250344653279,0.017982284821469602,0.09584592275171178,0.0
HI,2015,0.134,,,,,0.134,69515,0.30841784019990603,0.22885033694825924,0.01897249446952604,0.09901948305445712,0.0
HI,2016,0.10400000000000001,,,,,0.10400000000000001,71977,0.3136878240804979,0.22373278686089357,0.01681294047491888,0.10032518128308314,0.0
HI,2017,0.107,,,,,0.107,74923,0.32037345578673604,0.22230874092081218,0.01686551899261285,0.10226158471306039,0.0
HI,2018,0.10800000000000001,,,,,0.10800000000000001,78084,0.3247740970712296,0.2211881754872791,0.017209213032926895,0.10404991740674768,0.0
HI,2019,0.105,,,,,0.105,81275,0.3297727604594136,0.21990248183312777,0.017141623549498136,0.10485804735833215,0.0
HI,2020,0.098,,,,,0.098,83173,0.3356897622796744,0.2157352363327545,0.017696260899079906,0.10743524633223339,0.0
HI,2021,0.124,,,,,0.124,88005,0.34340498342842474,0.21342719425826523,0.01824632713632905,0.10921308457252779,0.0
HI,2022,0.11599999999999999,,,,,0.11599999999999999,94814,0.34716179198829566,0.2104138387923802,0.018381498825649444,0.10962650344101603,0.0
HI,2023,0.115,,,,,0.115,98317,0.35469669080966487,0.21120753163834577,0.017983792589415723,0.09838237176050663,0.0
HI,2024,0.11,,,,,0.11,100389,0.3613862203054367,0.20921095877141088,0.017649032856248293,0.09935477621286504,0.0
IA,2012,0.14300000000000002,,,,,0.14300000000000002,51129,0.2532462534061637,0.8861688660690907,0.028408155015379084,0.04955529612034994,0.202194793141483
IA,2013,0.15,,,,,0.15,51843,0.2574204909511383,0.8823217100242836,0.02921908616765163,0.051496578181667384,0.202194793141483
IA,2014,0.145,,,,,0.145,52716,0.2635214733915923,0.8780188920755423,0.030308474404473387,0.05299020569725118,0.202194793141483
IA,2015,0.13699999999999998,,,,,0.13699999999999998,53183,0.26662873582961183,0.8739580659739081,0.030932987147998758,0.05438131116402448,0.202194793141483
IA,2016,0.13,,,,,0.13,54570,0.27172145479979015,0.8696354747924492,0.03240209760608822,0.05559377181854439,0.202194793141483
IA,2017,0.109,,,,,0.109,56570,0.27681276880953465,0.8650300727814548,0.03341584079032694,0.057180297501492894,0.202194793141483
IA,2018,0.125,,,,,0.125,58580,0.2820335422819456,0.8606189499182602,0.03430839084066747,0.05851430439403173,0.202194793141483
IA,2019,0.11699999999999999,,,,,0.11699999999999999,60523,0.28566288462503314,0.8568387148559583,0.03617127269623138,0.05998105435628767,0.202194793141483
IA,2020,0.111,,,,,0.111,61836,0.29318521291636895,0.8501386185635542,0.036289397084645104,0.06171629241929631,0.202194793141483
IA,2021,0.11599999999999999,,,,,0.11599999999999999,65429,0.2970539897466088,0.8435725317622339,0.03655322749591864,0.06386984954814114,0.202194793141483
IA,2022,0.113,,,,,0.113,70571,0.3028004853599049,0.8382149473977338,0.03698528240398691,0.06542732206987126,0.202194793141483
IA,2023,0.12,,,,,0.12,73147,0.30863181834320963,0.8306418430651168,0.037609001679319715,0.0699234684538525,0.202194793141483
IA,2024,0.12300000000000001,,,,,0.12300000000000001,75059,0.31423453066617024,0.8231241981406675,0.037908342825603555,0.07279411008915414,0.202194793141483
ID,2012,0.19399999999999998,,,,,0.19399999999999998,47015,0.24712828999403755,0.8394970541579523,0.005179859969651799,0.11194773833192052,0.11487809838040874
ID,2013,0.183,,,,,0.183,46767,0.2506558795379571,0.8365530604459872,0.005221162032230112,0.11425105029544691,0.11487809838040874
ID,2014,0.17300000000000001,,,,,0.17300000000000001,47334,0.2541775522483301,0.8334423281799402,0.0054386969634827665,0.11652278513301956,0.11487809838040874
ID,2015,0.159,,,,,0.159,47583,0.25863644654173473,0.8305121966760014,0.005781458874997139,0.11834731684262814,0.11487809838040874
ID,2016,0.15,,,,,0.15,49174,0.26248799644141024,0.8290492777974457,0.006003119567736259,0.11959097098532971,0.11487809838040874
ID,2017,0.133,,,,,0.133,50985,0.26765936396157747,0.825472810920884,0.006430650878648465,0.12186620408778942,0.11487809838040874
ID,2018,0.128,,,,,0.128,53089,0.2692354300969644,0.8221629343130651,0.006362686773207158,0.12387242869305709,0.11487809838040874
ID,2019,0.11199999999999999,,,,,0.11199999999999999,55785,0.27568046785638733,0.8196087905690583,0.006587687381749381,0.12544083830592345,0.11487809838040874
ID,2020,0.10400000000000001,,,,,0.10400000000000001,58915,0.2866798097340188,0.8137003261005251,0.006018125055931855,0.12709256387061543,0.11487809838040874
ID,2021,0.111,,,,,0.111,63377,0.29132878331619133,0.8058778428332258,0.006288304867971542,0.129476042673479,0.11487809838040874
ID,2022,0.113,,,,,0.113,70214,0.3020904135623643,0.800636855761986,0.006428424650330698,0.13064819813721848,0.11487809838040874
ID,2023,0.102,,,,,0.102,74636,0.31184286344578843,0.7934137081576257,0.006863691678427462,0.13334734769417989,0.11487809838040874
ID,2024,0.099,,,,,0.099,77800,0.31800482715725814,0.7855316394573227,0.007179999400288069,0.13645255916726895,0.11487809838040874
IL,2012,0.193,,,,,0.193,56853,0.3107991102071916,0.6354934473707604,0.143054041450858,0.15809467664182236,0.048866232903035066
IL,2013,0.196,,,,,0.196,56797,0.31443925601008443,0.6325072844773039,0.14204719067997845,0.16038427359218788,0.048866232903035066
IL,2014,0.188,,,,,0.188,57166,0.31889684722544276,0.6285483738238073,0.1416069489904495,0.1628359777373819,0.048866232903035066
IL,2015,0.179,,,,,0.179,57574,0.32300157043261196,0.6246719975615518,0.14129033465822458,0.16489672287686558,0.048866232903035066
IL,2016,0.168,,,,,0.168,59196,0.3289365957306582,0.6222418789630993,0.14088107052741103,0.16624078214185783,0.048866232903035066
IL,2017,0.16,,,,,0.16,61229,0.3344746799561832,0.6188858305627138,0.14052622399301226,0.16819523333649175,0.048866232903035066
IL,2018,0.153,,,,,0.153,63575,0.3406673751543794,0.6157070426331652,0.1400816924887944,0.16962465459376547,0.048866232903035066
IL,2019,0.146,,,,,0.146,65886,0.3465256031366178,0.6131137921062788,0.1396726598709179,0.17120430462676434,0.048866232903035066
IL,2020,0.134,,,,,0.134,68428,0.35517215973845073,0.6084743008976606,0.13892444293735123,0.17227648212149513,0.048866232903035066
IL,2021,0.15,,,,,0.15,72563,0.3616215764783035,0.6021989245982607,0.13829073938295622,0.17548813104667804,0.048866232903035066
IL,2022,0.151,,,,,0.151,78433,0.3667159211270079,0.5958483367684008,0.13671429984588052,0.17837978421390674,0.048866232903035066
IL,2023,0.142,,,,,0.142,81702,0.3718549192108079,0.5874717444808426,0.1355025619939346,0.18499820329130562,0.048866232903035066
IL,2024,0.134,,,,,0.134,83390,0.37848152002668184,0.5806051423583108,0.13337502495116504,0.18803363393415162,0.048866232903035066
IN,2012,0.2,,,,,0.2,48374,0.22983572538895633,0.8148220731382015,0.08861295838582198,0.05999417164055983,0.05037235127465394
IN,2013,0.2,,,,,0.2,48248,0.23192023814723034,0.8114378802556187,0.08972869873969683,0.06151904085137043,0.05037235127465394
IN,2014,0.193,,,,,0.193,48737,0.23620306734029584,0.8080706027181722,0.0901595757282751,0.06290280448599148,0.05037235127465394
IN,2015,0.188,,,,,0.188,49255,0.24100792512429126,0.8050550760468864,0.09046782098895587,0.06412372719183332,0.05037235127465394
IN,2016,0.179,,,,,0.179,50433,0.24611498479037774,0.8019754831037739,0.09099657064534329,0.0651820192431139,0.05037235127465394
IN,2017,0.163,,,,,0.163,52182,0.2531915336732235,0.7983443138912599,0.09135331332250245,0.06681887960512928,0.05037235127465394
IN,2018,0.162,,,,,0.162,54325,0.2590808931739175,0.7947601977031458,0.09195477282910575,0.0678375924643077,0.05037235127465394
IN,2019,0.139,,,,,0.139,56303,0.2645655912333007,0.790774956519965,0.09249512016962051,0.06928751551036702,0.05037235127465394
IN,2020,0.13699999999999998,,,,,0.13699999999999998,58235,0.2715506316359842,0.7844612419520515,0.09292622713249263,0.07099934253093187,0.05037235127465394
IN,2021,0.146,,,,,0.146,61944,0.27843577310476686,0.7784530182156432,0.09268619266693723,0.0732310919017558,0.05037235127465394
IN,2022,0.142,,,,,0.142,67173,0.2823526712062931,0.7721507699350997,0.09314290439409334,0.07531745976764646,0.05037235127465394
IN,2023,0.14,,,,,0.14,70051,0.28800141425094705,0.7610479653399008,0.09131145702309773,0.08359229754694533,0.05037235127465394
IN,2024,0.146,,,,,0.146,71957,0.2947427809027146,0.7537772550372767,0.0908011051699493,0.08616869211581894,0.05037235127465394
KS,2012,0.172,,,,,0.172,51273,0.29997296090102765,0.781939987717379,0.0561240720080051,0.10474108466555812,0.1613224502021866
KS,2013,0.165,,,,,0.165,51332,0.30260106702125933,0.7777617780647653,0.05593550031431882,0.10743044105397742,0.1613224502021866
KS,2014,0.16399999999999998,,,,,0.16399999999999998,51872,0.3071522868648806,0.773924312144591,0.056521350035692655,0.10965900852808204,0.1613224502021866
KS,2015,0.153,,,,,0.153,52205,0.31032498296516337,0.7704109973532546,0.05670886180961062,0.11172466381632548,0.1613224502021866
KS,2016,0.132,,,,,0.132,53571,0.3161046476035337,0.7683984222431695,0.05628176871067511,0.11308004852513136,0.1613224502021866
KS,2017,0.134,,,,,0.134,55477,0.3234922016323385,0.7645983566474506,0.05630169914113134,0.11531706510734137,0.1613224502021866
