state_abbr,subgroup_label,n_findings,avg_abs_resid,avg_pred,avg_poverty,transport_risk
CT,High EL,19.0,0.12107170004898751,0.14071291805650837,0.13152631578947369,0.031428995367238144
IL,High EL,111.0,0.2540276045568544,-0.007739322454943438,0.1674774774774775,0.028149321716023544
OR,High EL,53.0,0.17083930527070035,0.24086942891286867,0.16379245283018867,0.027310232557553188
PA,High Poverty,181.0,0.21249853417980893,0.1080743122215634,0.6839779005524862,0.026598248487286185
NM,General/Mixed,128.0,0.23951261022746256,0.13718697932900503,0.251671875,0.026498048624503105
CT,General/Mixed,103.0,0.2012411033671309,0.12268150867469259,0.31720388349514567,0.02611867130256645
NM,High EL,98.0,0.20261466548839735,0.12640324375080925,0.25083673469387757,0.025601090581227597
KY,High EL,25.0,0.10421674455883163,-0.00426882296114606,0.22463999999999998,0.025525598811305512
NA,High Poverty,348.0,0.25937149780867463,0.013948490829491594,0.795875,0.02496943599997159
DC,High EL,54.0,0.1464050403529165,-0.03892618671200045,0.252,0.02494384950469751
NE,General/Mixed,95.0,0.20333654395227208,0.23822471744063603,0.1771894736842105,0.024558396400702252
NC,General/Mixed,855.0,0.5914872868825486,0.01551170192918001,0.20472631578947367,0.02436973206278967
IL,High Poverty,193.0,0.19756659891004258,0.10378847426415345,0.7068911917098446,0.024273964157186346
AR,High Poverty,166.0,0.18557296442686577,0.23063901185746488,0.68,0.024197469054661472
NY,High Poverty,213.0,0.20475540575982393,0.15462280872676712,0.7150704225352112,0.024061767830577903
AL,General/Mixed,98.0,0.1868784991845063,0.19862115794395593,0.2307857142857143,0.02323425473483502
CA,High Poverty,206.0,0.19573786785340294,0.10608608443103933,0.7000970873786407,0.023185419944568072
PA,General/Mixed,869.0,0.5725084392278711,0.008470114564330122,0.19138434982738778,0.023137897643832374
MA,High Poverty,209.0,0.19240833143267755,0.09021764055201652,0.703278947368421,0.02266921643307874
AZ,General/Mixed,102.0,0.164408439331632,0.16358704711902142,0.2834607843137255,0.020893279995424563
TX,High Poverty,231.0,0.17606006925862067,0.16631725334041342,0.7084160173160173,0.019790123887832158
TN,High EL,105.0,0.16810460166427665,0.09339160053838765,0.20519047619047615,0.01977154663440087
AR,General/Mixed,78.0,0.1418669504998123,0.14260834751265158,0.22880769230769232,0.01973866850528612
IN,General/Mixed,264.0,0.2632808653680132,0.2660330784499444,0.18957196969696968,0.019275606662606876
FL,High EL,94.0,0.15201363663560055,0.10106930893662003,0.21167021276595746,0.018997788721938535
NY,High EL,132.0,0.17090523698078539,0.06408662114705824,0.18791666666666668,0.01767072551227572
NA,High EL,624.0,0.3641373749361407,0.021223399292200594,0.20715320512820512,0.01759686709963181
CA,General/Mixed,1083.0,0.47742722832712287,0.006526861197118667,0.19544136657433056,0.017342880649954748
LA,High EL,9.0,0.041072832404278274,-0.0156244207267023,0.26577777777777783,0.017329692842575486
TN,General/Mixed,332.0,0.25454599068156464,0.0633673878983911,0.20134939759036144,0.01678288249992717
NC,High EL,94.0,0.11734248313659111,-0.03851031191392022,0.20137234042553193,0.014540152995198398
NY,General/Mixed,1325.0,0.4365340928586635,0.0314846854817267,0.21230490566037735,0.014538583354072467
VA,General/Mixed,212.0,0.1671918142001976,0.028295194828404452,0.17081603773584905,0.013444224085956026
MD,General/Mixed,343.0,0.2100529425828946,-0.004319370920342339,0.1751078717201166,0.013327830023439803
CA,High EL,420.0,0.2139716791386789,0.038399388356970314,0.2218190476190476,0.012756705833463937
FL,General/Mixed,592.0,0.2167813677031219,0.07774019542298616,0.24446013513513515,0.011087715852906238
TX,High EL,414.0,0.18226605444239857,0.060882913630407556,0.19862318840579707,0.010737132119170998
NA,General/Mixed,2549.0,0.33844720187075833,-0.006801609791539891,0.21180266771282855,0.008123401417341039
TX,General/Mixed,1065.0,0.19051958690588344,0.05411434263888744,0.23440563380281687,0.007206472313613391
ND,General/Mixed,1.0,1.887379141862766e-15,-0.2519436119410451,0.096,2.068567539481592e-15
