state_abbr,f_Outcome_Domain,findings_n
IL,"Industry-recognized credential, certificate, or license completion",14
IL,Instructional practice,8
IL,Intrapersonal Competencies,12
IL,"Knowledge, attitudes, & values",9
IL,Literacy Achievement,16
IL,Other academic performance,1
IL,Primary school academic achievement,1
IL,Proficiency in a Language Other Than English,11
IL,Progressing in school,1
IL,Progressing in school (secondary school),7
IL,Reading Fluency,1
IL,Reading achievement,137
IL,School Attendance,4
IL,School leader retention at the school,1
IL,Secondary school academic achievement,1
IL,Short-Term Earnings,4
IL,Short-Term Employment,6
IL,Staying in Secondary School,1
IL,Student Behavior,9
IL,Student Discipline,14
IL,Student engagement in school,1
IL,Student social functioning,7
IL,Teacher and leader effectiveness,8
IL,Teacher instruction,8
IL,Teacher retention,1
IL,Teacher retention in the school district,1
IN,Academic achievement,10
IN,Alphabetics,6
IN,College Degree Attainment,7
IN,College Enrollment,12
IN,College Readiness,7
IN,Compliant Student Behavior,2
IN,Comprehension,18
IN,Earnings,10
IN,Employment,11
IN,General Mathematics Achievement,14
IN,"Industry-Recognized Credential, Certificate, or License",1
IN,Mathematics,1
IN,Progressing in College,16
IN,Reading & Literacy Related,1
IN,Reading Fluency,12
IN,Reading achievement,4
IN,School Attendance,3
IN,Staying in Secondary School,1
IN,Student Behavior,46
IN,Student Discipline,1
IN,Student social functioning,7
KS,Academic achievement,6
KS,Alphabetics,5
KS,Behavior,4
KS,College Degree Attainment,22
KS,College Enrollment,25
KS,Comprehension,16
KS,Credit accumulation,14
KS,Earnings,11
KS,Employment,20
KS,General Mathematics Achievement,11
KS,High School Completion,9
KS,"Industry-Recognized Credential, Certificate, or License",3
KS,"Industry-recognized credential, certificate, or license completion",14
KS,Intrapersonal Competencies,12
KS,Oral language,2
KS,Phonological processing,1
KS,Print knowledge,3
KS,Progressing in College,4
KS,Progressing in school (secondary school),4
KS,Reading Fluency,12
KS,Reading achievement,2
KS,Short-Term Earnings,4
KS,Short-Term Employment,4
KS,Student Discipline,12
KY,Academic achievement,12
KY,Algebra,6
KY,Alphabetics,1
KY,College Degree Attainment,22
KY,College Enrollment,25
KY,Completing school,1
KY,Compliant Student Behavior,2
KY,Comprehension,2
KY,Credit accumulation,14
KY,Earnings,11
KY,Employment,20
KY,General Literacy Achievement,1
KY,General Mathematics Achievement,74
KY,High School Completion,9
KY,"Industry-Recognized Credential, Certificate, or License",3
KY,"Industry-recognized credential, certificate, or license completion",14
KY,Intrapersonal Competencies,12
KY,Language,2
KY,Mathematics,1
KY,Progressing in school (secondary school),4
KY,Progressing in secondary school or adult education,1
KY,Reading & Literacy Related,1
KY,Secondary school academic achievement,2
KY,Short-Term Earnings,4
KY,Short-Term Employment,4
KY,Student Behavior,46
KY,Student Discipline,12
KY,Student social functioning,7
KY,Writing Conventions,1
KY,Writing Quality,3
LA,Academic achievement,29
LA,Algebra,6
LA,Alphabetics,2
LA,Behavior,1
LA,Cognition,5
LA,College Degree Attainment,22
LA,College Enrollment,25
LA,College Readiness,1
LA,Comprehension,3
LA,Credit accumulation,14
LA,Earnings,11
LA,Earnings (long-run),5
LA,Earnings (short-run),2
LA,Employment,20
LA,Employment (long-run),5
LA,Employment (short-run),2
LA,English language arts achievement,10
LA,General Mathematics Achievement,23
LA,General academic achievement (college),4
LA,High School Completion,9
LA,"Industry-Recognized Credential, Certificate, or License",3
LA,"Industry-recognized credential, certificate, or license completion",14
LA,Intrapersonal Competencies,19
LA,"Knowledge, attitudes, & values",4
LA,Literacy Achievement,8
LA,Progressing in College,3
LA,Progressing in school,1
LA,Progressing in school (secondary school),4
LA,Reading achievement,7
LA,Receptive Communication,1
LA,Secondary school academic achievement,1
LA,Short-Term Earnings,4
LA,Short-Term Employment,4
LA,Student Behavior,1
LA,Student Discipline,12
LA,Student emotional status,5
LA,Student engagement in school,4
LA,Teacher Retention in the School,5
LA,Teacher retention in the profession,5
LA,Teacher retention in the school district,5
LA,Vocabulary,1
MA,Academic achievement,12
MA,Access and enrollment,49
MA,Alphabetics,4
MA,Cognition,1
MA,College Degree Attainment,22
MA,College Enrollment,35
MA,Completing school,6
MA,Comprehension,5
MA,Credit accumulation,15
MA,Credit accumulation and persistence,4
MA,Earnings,11
MA,Employment,20
MA,English language arts achievement,21
MA,English language development,5
MA,General Literacy Achievement,2
MA,General Mathematics Achievement,130
MA,General academic achievement (high school),5
MA,High School Completion,9
MA,"Industry-Recognized Credential, Certificate, or License",3
MA,"Industry-recognized credential, certificate, or license completion",2
MA,Intrapersonal Competencies,12
MA,Mathematics,1
MA,Medium-Term Earnings,1
MA,Medium-Term Employment,2
MA,Number and Operations,4
MA,Progressing in College,13
MA,Progressing in school,2
MA,Progressing in school (secondary school),7
MA,Reading Comprehension,1
MA,Reading Fluency,2
MA,Reading achievement,99
MA,School Attendance,1
MA,Science Achievement,14
MA,Short-Term Earnings,3
MA,Short-Term Employment,8
MA,Social Studies Achievement,6
MA,Staying in School,2
MA,Student Discipline,13
MA,Student progression,2
MA,Word reading ,2
MA,Writing Quality,1
MD,Academic achievement,25
MD,Access and enrollment,15
MD,Attainment,11
MD,Behavior,10
MD,College Degree Attainment,4
MD,College Enrollment,14
MD,College Readiness,1
MD,Completing school,9
MD,Comprehension,6
MD,Credit accumulation and persistence,7
MD,Earnings,5
MD,Earnings (short-run),3
MD,Earth/Space Sciences,1
MD,Employment,10
MD,Employment (short-run),2
MD,English language arts achievement,1
MD,General Literacy Achievement,3
MD,General Mathematics Achievement,17
MD,General academic achievement (high school),5
MD,General science achievement ,1
MD,Geometry and Measurement,1
MD,High School Completion,7
MD,"Industry-recognized credential, certificate, or license (short-run)",1
MD,"Industry-recognized credential, certificate, or license completion",2
MD,"Knowledge, attitudes, & values",1
MD,Labor market outcomes,10
MD,Life sciences,4
MD,Literacy Achievement,10
MD,Number and Operations,2
MD,Physical sciences,2
MD,Progress in developmental education,7
MD,Progressing in College,32
MD,Progressing in school,11
MD,Progressing in school (secondary school),4
MD,Reading achievement,1
MD,School Attendance,1
MD,School leader retention at the school,1
MD,Science Achievement,1
MD,Secondary school academic achievement,2
MD,Short-Term Earnings,6
MD,Short-Term Employment,2
MD,Social Studies Achievement,1
MD,Staying in School,2
MD,Staying in Secondary School,1
MD,Student Discipline,1
MD,Student engagement in school,1
ME,Academic achievement,6
ME,College Degree Attainment,22
ME,College Enrollment,32
ME,Completing school,1
ME,Comprehension,2
ME,Earnings,11
ME,Employment,20
ME,English language arts achievement,2
ME,General Literacy Achievement,2
ME,General Mathematics Achievement,10
ME,High School Completion,9
ME,"Industry-Recognized Credential, Certificate, or License",3
ME,Intrapersonal Competencies,12
ME,Mathematics,2
ME,Progressing in College,6
ME,Progressing in school,7
ME,Progressing in school (secondary school),7
ME,Progressing in secondary school or adult education,1
ME,Reading achievement,1
ME,School Attendance,1
ME,Secondary school academic achievement,2
ME,Student Discipline,13
ME,Writing Quality,1
MI,Academic achievement,6
MI,Algebra,6
MI,Behavior,10
MI,College Degree Attainment,22
MI,College Enrollment,25
MI,College Readiness,1
MI,Completing school,2
MI,Comprehension,15
MI,Earnings,11
MI,Employment,20
MI,General Literacy Achievement,1
MI,General Mathematics Achievement,35
MI,High School Completion,9
MI,"Industry-Recognized Credential, Certificate, or License",3
MI,"Industry-recognized credential, certificate, or license completion",3
MI,Intrapersonal Competencies,12
MI,"Knowledge, attitudes, & values",1
MI,Literacy Achievement,5
MI,Mathematics,2
MI,Physical sciences,1
MI,Postsecondary degree attainment,6
MI,Progressing in College,4
MI,Progressing in school (secondary school),4
MI,Reading Comprehension,1
MI,Reading Fluency,12
MI,Short-Term Earnings,3
MI,Short-Term Employment,3
MI,Student Discipline,12
MI,Writing Conventions,1
MI,Writing Quality,3
MN,Academic achievement,6
MN,Alphabetics,9
MN,College Degree Attainment,28
MN,College Enrollment,31
MN,Completing school,1
MN,Comprehension,2
MN,Earnings,21
