state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
DC,323.0,Quantum Opportunity Program,2,1,280.0,0.0454642744943638,0.0454642744943638,100.0,3.0,Quantum Opportunity Program
DC,361.0,Voyager Universal Literacy System®,7,1,1393.0,0.45525812958537654,0.484304176259957,100.0,16.857142857142858,Voyager Universal Literacy System®
DC,1581.0,Year Up,1,1,232.375,1.0008220792979,1.0008220792979,100.0,34.0,Year Up
DE,309.0,Accelerated Math® ,3,1,210.0,0.0830366562239247,0.0830366562239247,100.0,-0.3333333333333333,Accelerated Math® 
FL,7.0,Peer-Assisted Learning Strategies,1,1,130.0,0.438888394036872,0.438888394036872,100.0,17.0,Peer-Assisted Learning Strategies
FL,17.0,Saxon Math,12,1,1693.6000000000001,0.11020461145858564,0.09383746952507925,75.0,4.333333333333333,Saxon Math
FL,62.0,Facilitating Long-term Improvements in Graduation and Higher Education for Tomorrow (FLIGHT),3,1,661.0,0.3916105312758333,-0.0070311560974962,33.33333333333333,12.333333333333334,Facilitating Long-term Improvements in Graduation and Higher Education for Tomorrow (FLIGHT)
FL,187.0,Lessons in Character,8,1,1024.0,0.36373145208230023,0.3821166141590635,100.0,11.125,Lessons in Character
FL,230.0,Lexia Reading,14,1,352.0,0.3423805622108735,0.161025596006906,50.0,7.928571428571429,Lexia Reading
FL,232.0,Open Court Reading©,2,1,266.0,0.225892052244969,0.225892052244969,100.0,8.0,Open Court Reading©
FL,240.0,Headsprout Early Reading,2,1,124.0,0.573377963737796,0.573377963737796,100.0,22.0,Headsprout Early Reading
FL,247.0,Peer Tutoring and Response Groups,2,1,59.0,0.10192046767874899,0.10192046767874899,100.0,-2.0,Peer Tutoring and Response Groups
FL,250.0,Too Good For Violence (TGFV),2,1,1996.0,0.4853973473436725,0.4853973473436725,100.0,17.0,Too Good For Violence (TGFV)
FL,251.0,Too Good for Drugs (TGFD),12,2,5988.0,0.17121755724508841,0.154211836559808,90.0,7.5,Too Good for Drugs (TGFD)
FL,252.0,Too Good for Drugs and Violence (TGFD & V),14,2,3122.0,0.42605382404315717,0.5110378261460315,100.0,15.857142857142858,Too Good for Drugs and Violence (TGFD & V)
FL,269.0,Lions Quest -- Skills for Action,1,1,104.28571428571428,0.127630114071465,0.127630114071465,100.0,5.0,Lions Quest -- Skills for Action
