f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
1399,65307,CA,West,1997,0.246,39595.0,0.18123076923076922,37458.692307692305,0.246,39595.0
1400,65307,CA,West,1997,0.246,39595.0,0.18123076923076922,37458.692307692305,0.246,39595.0
1401,65307,CA,West,1997,0.246,39595.0,0.18123076923076922,37458.692307692305,0.246,39595.0
1318,30049,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
1313,30049,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
1314,30049,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
1555,65304,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
3101,65304,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
252,65305,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1346,30639,CA,Northeast,1997,0.246,39595.0,0.15855555555555556,39808.22222222222,0.246,39595.0
1027,30710,DC,Midwest,2006,0.283,51746.0,0.16041666666666668,46204.0,0.283,51746.0
1025,30710,DC,Midwest,2006,0.283,51746.0,0.16041666666666668,46204.0,0.283,51746.0
1547,29870,CA,Midwest,2010,0.22,57664.0,0.19099999999999998,47988.583333333336,0.22,57664.0
1552,81453,PA,Northeast,2005,0.166,44545.0,0.14388888888888884,52103.88888888889,0.166,44545.0
1553,81453,PA,Northeast,2005,0.166,44545.0,0.14388888888888884,52103.88888888889,0.166,44545.0
1226,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1227,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1228,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1229,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1230,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1231,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1233,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1234,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1235,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1236,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1237,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1238,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1240,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1241,33169,FL,South,2006,0.176,45494.0,0.21705882352941175,44153.529411764706,0.176,45494.0
1031,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1032,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1033,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1034,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1038,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1039,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1036,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1243,33248,AK,West,2005,0.142,55477.0,0.16807692307692304,47172.0,0.142,55477.0
1244,33248,AK,West,2005,0.142,55477.0,0.16807692307692304,47172.0,0.142,55477.0
1245,33248,AK,West,2005,0.142,55477.0,0.16807692307692304,47172.0,0.142,55477.0
1246,33248,AK,West,2005,0.142,55477.0,0.16807692307692304,47172.0,0.142,55477.0
1676,22867,,,2006,,,,,,
1677,22867,,,2006,,,,,,
1678,22867,,,2006,,,,,,
1679,22867,,,2006,,,,,,
1680,22867,,,2006,,,,,,
1681,22867,,,2006,,,,,,
1683,22867,,,2006,,,,,,
1265,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
1266,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
