f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
1267,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
1268,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
1269,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
1271,33457,MA,Northeast,2008,0.123,65304.0,0.14166666666666666,58550.444444444445,0.123,65304.0
1692,22876,,,2005,,,,,,
1693,22876,,,2005,,,,,,
1273,74229,,,2004,,,,,,
1274,74229,,,2004,,,,,,
1275,74229,,,2004,,,,,,
1276,74229,,,2004,,,,,,
1277,74229,,,2004,,,,,,
1278,74229,,,2004,,,,,,
1285,74229,,,2004,,,,,,
1280,74229,,,2004,,,,,,
1281,74229,,,2004,,,,,,
1282,74229,,,2004,,,,,,
1283,74229,,,2004,,,,,,
1286,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1287,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1288,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1289,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1290,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1295,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1292,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1293,33474,,West,2005,,,0.16807692307692304,47172.0,0.16807692307692304,47172.0
1296,33475,,,2000,,,,,,
1297,33475,,,2000,,,,,,
1298,33475,,,2000,,,,,,
1299,33475,,,2000,,,,,,
1300,33475,,,2000,,,,,,
1302,33475,,,2000,,,,,,
1303,33475,,,2000,,,,,,
1305,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1306,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1307,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1308,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1309,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1310,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1312,74233,WA,West,1997,0.152,41715.0,0.18123076923076922,37458.692307692305,0.152,41715.0
1320,33479,,,2008,,,,,,
1321,33479,,,2008,,,,,,
1322,33479,,,2008,,,,,,
2347,33479,,,2008,,,,,,
1326,33479,,,2008,,,,,,
1324,33479,,,2008,,,,,,
1327,33477,,,2006,,,,,,
1328,33477,,,2006,,,,,,
1329,33477,,,2006,,,,,,
1330,33477,,,2006,,,,,,
1331,33477,,,2006,,,,,,
1332,33477,,,2006,,,,,,
1336,33477,,,2006,,,,,,
1334,33477,,,2006,,,,,,
1337,33541,NE,Midwest,2003,0.129,41984.0,0.13975,43488.666666666664,0.129,41984.0
1338,33541,NE,Midwest,2003,0.129,41984.0,0.13975,43488.666666666664,0.129,41984.0
1342,33541,NE,Midwest,2003,0.129,41984.0,0.13975,43488.666666666664,0.129,41984.0
1340,33541,NE,Midwest,2003,0.129,41984.0,0.13975,43488.666666666664,0.129,41984.0
1711,14341,TX,South,2007,0.231,47563.0,0.21258823529411763,46383.05882352941,0.231,47563.0
1712,14341,TX,South,2007,0.231,47563.0,0.21258823529411763,46383.05882352941,0.231,47563.0
1713,14341,TX,South,2007,0.231,47563.0,0.21258823529411763,46383.05882352941,0.231,47563.0
1719,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1720,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1721,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1722,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1726,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1727,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1724,66103,PA,Northeast,2006,0.1669999999999999,46256.0,0.1412222222222222,54140.666666666664,0.1669999999999999,46256.0
1089,22823,PA,Northeast,2004,0.16,43714.0,0.13588888888888886,49213.11111111111,0.16,43714.0
1094,22697,IN,Midwest,2007,0.171,47422.0,0.159,48046.833333333336,0.171,47422.0
1096,22697,IN,Midwest,2007,0.171,47422.0,0.159,48046.833333333336,0.171,47422.0
1098,64935,OH,Midwest,2004,0.168,43371.0,0.152,43510.833333333336,0.168,43371.0
1705,81950,OR,West,2005,0.188,43065.0,0.16807692307692304,47172.0,0.188,43065.0
1706,81950,OR,West,2005,0.188,43065.0,0.16807692307692304,47172.0,0.188,43065.0
1707,81950,OR,West,2005,0.188,43065.0,0.16807692307692304,47172.0,0.188,43065.0
1701,81950,OR,West,2005,0.188,43065.0,0.16807692307692304,47172.0,0.188,43065.0
1702,81950,OR,West,2005,0.188,43065.0,0.16807692307692304,47172.0,0.188,43065.0
1100,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1101,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1102,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1103,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1107,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1109,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1105,80994,VA,South,2000,0.122,46789.0,0.19005882352941175,38214.64705882353,0.122,46789.0
1117,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
4761,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
4762,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
4763,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
4764,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
4765,76572,NC,South,2003,0.191,39438.0,0.20752941176470588,39651.94117647059,0.191,39438.0
1729,40028,CA,West,1993,0.264,34128.0,0.1910769230769231,32032.30769230769,0.264,34128.0
1731,40124,,Midwest,1995,,,0.16166666666666665,33797.75,0.16166666666666665,33797.75
122,28296,,Northeast,2004,,,0.13588888888888886,49213.11111111111,0.13588888888888886,49213.11111111111
123,28296,,Northeast,2004,,,0.13588888888888886,49213.11111111111,0.13588888888888886,49213.11111111111
1736,40133,,,1990,,,,,,
1737,40133,,,1990,,,,,,
1738,40133,,,1990,,,,,,
1739,40133,,,1990,,,,,,
1740,40133,,,1990,,,,,,
1741,40133,,,1990,,,,,,
1742,40133,,,1990,,,,,,
1743,40133,,,1990,,,,,,
