column,non_null,coverage,n_unique
s_Region_State_Nevada,73,0.005605467250249558,1
i_Region_State_New_Jersey,73,0.005605467250249558,1
i_Region_State_Oregon,71,0.005451892805037242,1
i_Region_State_Louisiana,68,0.0052215311372187665,1
i_Class_type_General,61,0.004684020578975659,1
i_Class_type,61,0.004684020578975659,2
i_Region_State_Alaska,60,0.0046072333563695,1
s_Region_State_Alaska,60,0.0046072333563695,1
i_Region_State_Kentucky,59,0.004530446133763342,1
i_Region_State_Massachusetts,59,0.004530446133763342,1
i_Region_State_Nebraska,57,0.004376871688551025,1
i_Region_State_Nevada,56,0.004300084465944867,1
i_Region_State_Kansas,55,0.0042232972433387085,1
i_Region_State_Connecticut,53,0.004069722798126392,1
s_Demographics_Sample_Minority,52,0.0039929355755202334,10
i_Region_State_Indiana,50,0.0038393611303079167,1
i_Region_State_Georgia,46,0.0035322122398832832,1
s_Region_State_Delaware,44,0.003378637794670967,1
i_School_type_Charter,41,0.003148276126852492,1
i_Program_Type_Teacher_level,41,0.003148276126852492,1
i_Class_type_Inclusion,40,0.0030714889042463334,1
s_School_type_Parochial,37,0.0028411272364278583,1
i_Region_State_Alabama,36,0.0027643400138217,1
s_Region_State_Idaho,34,0.0026107655686093832,1
i_Region_State_DC,32,0.002457191123397067,1
s_Region_State_Hawaii,32,0.002457191123397067,1
s_Region_State_Vermont,31,0.0023804039007909086,1
s_Region_State_Rhode_Island,29,0.002226829455578592,1
i_Program_Type_Curriculum,29,0.002226829455578592,1
i_Region_State_Utah,28,0.0021500422329724335,1
i_Region_State_Hawaii,27,0.002073255010366275,1
i_Region_State_Colorado,26,0.0019964677877601167,1
s_Region_State_New_Hampshire,25,0.0019196805651539584,1
i_Region_State_New_Mexico,24,0.0018428933425478,1
s_Region_State_South_Dakota,20,0.0015357444521231667,1
i_Program_Type_Supplement,18,0.00138217000691085,1
i_Region_State_Oklahoma,15,0.001151808339092375,1
s_Region_State_Wyoming,14,0.0010750211164862167,1
i_Region_State_Wisconsin,13,0.0009982338938800584,1
i_Region_State_Idaho,12,0.0009214466712739,1
s_Region_State_Montana,12,0.0009214466712739,1
i_Region_State_New_Hampshire,11,0.0008446594486677417,1
i_Region_State_Wyoming,10,0.0007678722260615834,1
s_Demographics_Sample_Nonminority,9,0.000691085003455425,3
i_Region_State_Iowa,9,0.000691085003455425,1
s_Ineligibility_Reason,7,0.0005375105582431084,2
i_Program_Type_Practice,7,0.0005375105582431084,1
i_School_type_Private,4,0.00030714889042463337,1
i_School_type_Parochial,3,0.000230361667818475,1
s_Region_State_North_Dakota,1,7.678722260615834e-05,1
i_Region_State_West_Virginia,1,7.678722260615834e-05,1
i_Program_Type_School_level,0,0.0,0
s_Demographics_Sample_International,0,0.0,0
i_Region_State_Montana,0,0.0,0
i_Demographics_Sample_International,0,0.0,0
i_Ethnicity_Not_Hispanic,0,0.0,0
f_Clusters_Total,0,0.0,0
i_Program_Type_Policy,0,0.0,0
s_US_Region_U_S__Region,0,0.0,0
i_Region_State_North_Dakota,0,0.0,0
s_Topic_School_Choice,0,0.0,0
i_Region_State_Maine,0,0.0,0
i_Race_Other,0,0.0,0
i_Region_State_Arkansas,0,0.0,0
s_Topic_College_Readiness_And_Completion,0,0.0,0
i_Region_State_Vermont,0,0.0,0
i_Region_State_South_Dakota,0,0.0,0
i_Region_State_Delaware,0,0.0,0
s_School_Setting_Student_Count,0,0.0,0
i_Region_State_Rhode_Island,0,0.0,0
